thA0,IIA0,thA1,IIA1,thB0,IIB0,thB1,IIB1,thC0,IIC0,thC1,IIC1
16.551,4.252,30.746,4.902,32.822,6.965,21.002,4.070,17.084,4.344,4.544,1.164
,5.158,,6.006,,7.195,,3.840,,5.574,,1.394
,4.907,,5.252,25.314,5.088,40.022,8.825,29.096,8.348,17.519,5.489
16.810,4.349,22.558,3.275,,5.318,,8.595,,9.578,,5.719
,5.242,,4.278,36.918,7.989,35.118,7.599,38.639,11.529,38.841,12.594
,4.995,,3.570,,8.219,,7.369,,12.759,,12.827
14.434,3.550,28.001,4.369,46.677,10.429,20.283,3.891,23.690,6.546,37.324,12.091
,4.458,,5.365,,10.659,,3.661,,7.776,,12.321
,4.209,,4.663,16.909,2.987,41.746,9.256,29.087,8.345,16.717,5.222
20.891,5.704,32.958,5.350,,3.217,,9.026,,9.575,,5.452
,6.605,,6.659,21.889,4.232,40.458,8.934,21.993,5.985,40.099,13.016
,6.357,,5.804,,4.462,,8.704,,7.211,,13.242
13.773,3.348,28.277,4.419,34.998,7.509,19.478,3.689,30.082,8.672,42.244,10.211
,4.239,,5.418,,7.739,,3.459,,9.907,,10.441
,3.984,,4.713,23.285,4.581,22.974,4.563,18.776,4.908,,10.526
14.739,3.654,36.763,6.119,,4.811,,4.333,,6.138,22.099,5.178
,4.556,,7.117,21.561,4.150,25.348,5.156,34.808,10.252,,5.404
,4.309,,6.416,,4.380,,4.927,,11.482,,5.489
24.713,6.973,34.650,5.695,37.778,8.204,25.336,5.154,26.192,7.382,40.895,9.873
,7.872,,6.692,,8.434,,4.923,,8.610,,10.103
,7.626,,5.991,29.376,6.104,23.743,4.755,18.230,4.726,,10.188
10.127,2.113,33.590,5.434,,6.334,,4.525,,5.956,17.519,4.029
,3.018,,6.475,32.822,6.965,29.751,6.257,37.085,11.011,,4.252
,2.762,,5.778,,7.195,,6.021,,12.241,,4.344
14.689,3.636,12.239,1.209,,,,,,,38.841,9.360
,4.532,,2.212,,,,,,,,9.592
,4.286,,1.504,,,,,,,,9.675
13.047,3.089,35.848,5.929,,,,,,,37.324,8.981
,3.989,,6.929,,,,,,,,9.211
,3.739,,6.229,,,,,,,,9.296
16.487,4.235,38.451,6.450,,,,,,,,
,5.135,,7.454,,,,,,,,
,4.885,,6.750,,,,,,,,
14.345,3.521,18.573,2.474,,,,,,,,
,4.421,,3.474,,,,,,,,
,4.171,,2.772,,,,,,,,
